pn,un_cc_ds,wn_cc_ds,u_pacceoc/cc_ds,w_pacceoc/cc_ds,un_s_ds,w_s_ds,un_eacr_ds,w_eacr_ds,tps
330141,60,15,10,2.5,40,10,0,0,27.5
330151,5,1.666666667,25,8.333333333,Not Available,Not Available,80,26.66666667,36.66666667
330153,40,10,5,1.25,37.14285714,9.285714286,60,15,35.53571429
330157,10,2.5,19,4.75,67.14285714,16.78571429,50,12.5,36.53571429
330158,60,15,25,6.25,62.85714286,15.71428571,0,0,36.96428571
330160,40,10,11,2.75,12.85714286,3.214285714,10,2.5,18.46428571
330162,50,12.5,65,16.25,66.66666667,16.66666667,20,5,50.41666667
330163,16.66666667,4.166666667,8,2,35,8.75,10,2.5,17.41666667
330164,40,10,35,8.75,50,12.5,40,10,41.25
330167,70,17.5,17,4.25,22.85714286,5.714285714,0,0,27.46428571
330169,96.66666667,24.16666667,12,3,48.57142857,12.14285714,0,0,39.30952381
330175,100,25,14,3.5,72,18,70,17.5,64
330180,30,7.5,14,3.5,88.33333333,22.08333333,20,5,38.08333333
330181,30,7.5,19,4.75,38,9.5,0,0,21.75
330182,90,22.5,50,12.5,31.66666667,7.916666667,0,0,42.91666667
330184,60,15,10,2.5,40,10,0,0,27.5
330185,96.66666667,24.16666667,41,10.25,46.66666667,11.66666667,0,0,46.08333333
330188,43.33333333,10.83333333,18,4.5,72,18,20,5,38.33333333
330191,23.33333333,5.833333333,34,8.5,52.85714286,13.21428571,0,0,27.54761905
330193,50,12.5,11,2.75,58.57142857,14.64285714,0,0,29.89285714
330194,100,25,6,1.5,58.57142857,14.64285714,0,0,41.14285714
330195,66.66666667,16.66666667,14,3.5,40,10,0,0,30.16666667
330196,76.66666667,19.16666667,10,2.5,28.33333333,7.083333333,0,0,28.75
330197,83.33333333,20.83333333,25,6.25,46,11.5,70,17.5,56.08333333
330198,33.33333333,8.333333333,19,4.75,51.42857143,12.85714286,0,0,25.94047619
330199,75,18.75,15,3.75,55.71428571,13.92857143,30,7.5,43.92857143
330201,53.33333333,13.33333333,19,4.75,43.333333333333(23),10.833333333333(23),20,5,33.916666666667(23)
330203,26.66666667,6.666666667,11,2.75,54.28571429,13.57142857,20,5,27.98809524
330204,13.33333333,3.333333333,13,3.25,10,2.5,30,7.5,16.58333333
330205,53.33333333,13.33333333,46,11.5,50,12.5,10,2.5,39.83333333
330208,83.33333333,20.83333333,33,8.25,52.85714286,13.21428571,0,0,42.29761905
330211,33.33333333,8.333333333,46,11.5,33.33333333,8.333333333,30,7.5,35.66666667
330214,100,25,16,4,35.71428571,8.928571429,0,0,37.92857143
330215,33.33333333,8.333333333,32,8,52.5,13.125,30,7.5,36.95833333
330218,66.66666667,16.66666667,46,11.5,64,16,20,5,49.16666667
330219,70,17.5,39,9.75,20,5,10,2.5,34.75
330221,60,15,6,1.5,38.57142857,9.642857143,10,2.5,28.64285714
330222,30,7.5,48,12,41.42857143,10.35714286,50,12.5,42.35714286
330223,63.33333333,21.11111111,12,4,Not Available,Not Available,100,33.33333333,58.44444444
330226,60,15,38,9.5,35.71428571,8.928571429,40,10,43.42857143
330229,20,5,21,5.25,76.66666667,19.16666667,30,7.5,36.91666667
330231,53.33333333,13.33333333,16,4,50,12.5,20,5,34.83333333
330232,13.33333333,4.444444444,13,4.333333333,Not Available,Not Available,0,0,8.777777778
330233,26.66666667,6.666666667,11,2.75,32.85714286,8.214285714,10,2.5,20.13095238
330234,53.33333333,13.33333333,7,1.75,30,7.5,10,2.5,25.08333333
330235,56.66666667,14.16666667,12,3,55,13.75,20,5,35.91666667
330236,96.66666667,24.16666667,13,3.25,47.14285714,11.78571429,0,0,39.20238095
330238,5,1.25,24,6,83.33333333,20.83333333,60,15,43.08333333
330239,30,7.5,3,0.75,63.33333333,15.83333333,20,5,29.08333333
330240,10,2.5,9,2.25,71.66666667,17.91666667,0,0,22.66666667
330241,60,15,21,5.25,27.14285714,6.785714286,0,0,27.03571429
330245,6.666666667,1.666666667,22,5.5,33.33333333,8.333333333,0,0,15.5
330246,53.33333333,13.33333333,22,5.5,56.66666667,14.16666667,0,0,33
330250,63.33333333,15.83333333,18,4.5,57.14285714,14.28571429,20,5,39.61904762
330259,56.66666667,14.16666667,10,2.5,58.57142857,14.64285714,0,0,31.30952381
330261,23.33333333,5.833333333,31,7.75,64.28571429,16.07142857,10,2.5,32.1547619
330264,43.33333333,10.83333333,9,2.25,67.14285714,16.78571429,0,0,29.86904762
330265,0,0,28,7,70,17.5,80,20,44.5
330267,46.66666667,11.66666667,29,7.25,38.57142857,9.642857143,0,0,28.55952381
330268,10,3.333333333,33,11,Not Available,Not Available,100,33.33333333,47.66666667
330270,Not Available,Not Available,69,23,40,13.33333333,10,3.333333333,39.66666667
330273,53.33333333,13.33333333,33,8.25,51.42857143,12.85714286,10,2.5,36.94047619
330276,50,12.5,32,8,66.66666667,16.66666667,50,12.5,49.66666667
330277,56.66666667,14.16666667,40,10,57.5,14.375,70,17.5,56.04166667
330279,13.33333333,3.333333333,7,1.75,37.14285714,9.285714286,0,0,14.36904762
330285,46.66666667,11.66666667,24,6,35.71428571,8.928571429,30,7.5,34.0952381
330286,40,10,16,4,41.42857143,10.35714286,0,0,24.35714286
330304,70,17.5,42,10.5,30,7.5,0,0,35.5
330307,10,2.5,36,9,57.14285714,14.28571429,40,10,35.78571429
330331,66.66666667,16.66666667,28,7,23.33333333,5.833333333,0,0,29.5
330332,40,10,26,6.5,41.66666667,10.41666667,10,2.5,29.41666667
330340,53.33333333,13.33333333,11,2.75,18.33333333,4.583333333,20,5,25.66666667
330350,43.33333333,10.83333333,4,1,14.28571429,3.571428571,0,0,15.4047619
330385,Not Available,Not Available,22,7.333333333,70,23.33333333,80,26.66666667,57.33333333
330386,33.33333333,8.333333333,58,14.5,75,18.75,10,2.5,44.08333333
330393,83.33333333,20.83333333,14,3.5,31.42857143,7.857142857,10,2.5,34.69047619
330394,20,5,16,4,20,5,50,12.5,26.5
330395,0,0,14,3.5,41.42857143,10.35714286,0,0,13.85714286
330396,26.66666667,6.666666667,9,2.25,46.66666667,11.66666667,30,7.5,28.08333333
330397,55,13.75,3,0.75,32,8,0,0,22.5
330399,50,12.5,9,2.25,68.57142857,17.14285714,20,5,36.89285714
330401,60,15,18,4.5,45.71428571,11.42857143,10,2.5,33.42857143
340001,20,5,23,5.75,35.71428571,8.928571429,0,0,19.67857143
340002,50,12.5,58,14.5,31.42857143,7.857142857,10,2.5,37.35714286
340003,10,2.5,36,9,77.5,19.375,60,15,45.875
340004,36.66666667,9.166666667,15,3.75,55.71428571,13.92857143,0,0,26.8452381
340008,46.66666667,11.66666667,36,9,60,15,60,15,50.66666667
340010,33.33333333,8.333333333,12,3,50,12.5,40,10,33.83333333
340014,40,10,22,5.5,25.71428571,6.428571429,10,2.5,24.42857143
340015,33.33333333,8.333333333,23,5.75,31.42857143,7.857142857,0,0,21.94047619
340016,75,18.75,35,8.75,64,16,40,10,53.5
340017,43.33333333,10.83333333,36,9,46.66666667,11.66666667,20,5,36.5
340020,50,12.5,20,5,86,21.5,50,12.5,51.5
340021,13.33333333,3.333333333,42,10.5,51.42857143,12.85714286,0,0,26.69047619
340023,53.33333333,13.33333333,62,15.5,56,14,30,7.5,50.33333333
340024,50,12.5,29,7.25,62.5,15.625,80,20,55.375
340027,30,7.5,21,5.25,61.42857143,15.35714286,20,5,33.10714286
340028,76.66666667,19.16666667,16,4,42.85714286,10.71428571,30,7.5,41.38095238
340030,40,10,50,12.5,37.14285714,9.285714286,30,7.5,39.28571429
340032,46.66666667,11.66666667,24,6,61.42857143,15.35714286,30,7.5,40.52380952
340037,50,12.5,73,18.25,100,25,50,12.5,68.25
340039,10,2.5,23,5.75,61.42857143,15.35714286,40,10,33.60714286
340041,16.66666667,4.166666667,22,5.5,68.33333333,17.08333333,0,0,26.75
340042,53.33333333,13.33333333,20,5,65.71428571,16.42857143,30,7.5,42.26190476
340047,73.33333333,18.33333333,38,9.5,33.33333333,8.333333333,10,2.5,38.66666667
340050,50,12.5,16,4,47.14285714,11.78571429,50,12.5,40.78571429
340051,36.66666667,9.166666667,42,10.5,43.33333333,10.83333333,30,7.5,38
340053,60,15,17,4.25,42.85714286,10.71428571,0,0,29.96428571
340060,36.66666667,9.166666667,31,7.75,52,13,20,5,34.91666667
340061,26.66666667,6.666666667,58,14.5,32.85714286,8.214285714,20,5,34.38095238
340064,23.33333333,5.833333333,52,13,65,16.25,40,10,45.08333333
340068,36.66666667,9.166666667,49,12.25,52.85714286,13.21428571,50,12.5,47.13095238
340069,0,0,35,8.75,38.57142857,9.642857143,0,0,18.39285714
